src_name,avgParticlesPerCell,cutoff,domainSizeX,domainSizeY,domainSizeZ,estimatedNumNeighborInteractions,maxParticlesPerCell,minParticlesPerCell,numCells,numEmptyCells,numHaloParticles,numParticles,particleSize,particleSizeNeededByFunctor,particlesPerBlurredCellStdDev,particlesPerCellStdDev,rebuildFrequency,skin,threadCount,Ranking,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3
./data/1714082578016230200,0.225185,3.0,45.0,45.0,45.0,1531.0,1.0,0.0,3375.0,2615.0,0.0,760.0,128.0,72.0,0.050404,0.03193,10.0,1.0,12.0,0.6065306597126334,LinkedCells,1.0,lc_c08,none,AoS,enabled
./data/1714082578016230200,0.225185,3.0,45.0,45.0,45.0,1531.0,1.0,0.0,3375.0,2615.0,0.0,760.0,128.0,72.0,0.050404,0.03193,10.0,1.0,12.0,0.4723665527410147,VerletClusterLists,1.0,vcl_c06,none,SoA,disabled
./data/1714079978677100026,0.001012,3.0,155.0,95.0,55.0,64.0,1.0,0.0,31616.0,31584.0,0.0,32.0,128.0,72.0,0.182416,0.176687,10.0,1.0,12.0,1.0,VerletClusterLists,1.0,vcl_c06,none,AoS,disabled
./data/1714079978677100026,0.001012,3.0,155.0,95.0,55.0,64.0,1.0,0.0,31616.0,31584.0,0.0,32.0,128.0,72.0,0.182416,0.176687,10.0,1.0,12.0,0.7788007830714049,VerletClusterLists,1.0,vcl_c01_balanced,none,SoA,disabled
./data/1714079978677100026,0.001012,3.0,155.0,95.0,55.0,64.0,1.0,0.0,31616.0,31584.0,0.0,32.0,128.0,72.0,0.182416,0.176687,10.0,1.0,12.0,0.6065306597126334,VerletClusterLists,1.0,vcl_c06,none,SoA,enabled
./data/1714079978677100026,0.001012,3.0,155.0,95.0,55.0,64.0,1.0,0.0,31616.0,31584.0,0.0,32.0,128.0,72.0,0.182416,0.176687,10.0,1.0,12.0,0.4723665527410147,VerletClusterLists,1.0,vcl_c06,none,SoA,disabled
./data/1714078463467677404,1.12215,3.0,155.0,55.0,55.0,100470.0,8.0,0.0,18772.0,6836.0,0.0,21065.0,128.0,72.0,0.057323,0.00753,10.0,1.0,12.0,1.0,VerletListsCells,1.0,vlc_c18,none,AoS,enabled
./data/1714078463467677404,1.12215,3.0,155.0,55.0,55.0,100470.0,8.0,0.0,18772.0,6836.0,0.0,21065.0,128.0,72.0,0.057323,0.00753,10.0,1.0,12.0,0.7788007830714049,VerletClusterLists,1.0,vcl_c06,none,SoA,enabled
./data/1714078463467677404,1.12215,3.0,155.0,55.0,55.0,100470.0,8.0,0.0,18772.0,6836.0,0.0,21065.0,128.0,72.0,0.057323,0.00753,10.0,1.0,12.0,0.6065306597126334,VerletListsCells,1.0,vlc_c01,none,AoS,disabled
./data/1714078463467677404,1.12215,3.0,155.0,55.0,55.0,100470.0,8.0,0.0,18772.0,6836.0,0.0,21065.0,128.0,72.0,0.057323,0.00753,10.0,1.0,12.0,0.4723665527410147,VerletListsCells,1.0,vlc_sliced_c02,none,AoS,enabled
./data/1714081875672491428,0.0,3.0,63.0,215.0,145.0,0.0,0.0,0.0,74088.0,74088.0,0.0,0.0,128.0,72.0,0.0,0.0,10.0,1.0,12.0,1.0,VerletClusterLists,1.0,vcl_cluster_iteration,none,SoA,disabled
./data/1714081875672491428,0.0,3.0,63.0,215.0,145.0,0.0,0.0,0.0,74088.0,74088.0,0.0,0.0,128.0,72.0,0.0,0.0,10.0,1.0,12.0,0.7788007830714049,VerletClusterLists,1.0,vcl_cluster_iteration,none,AoS,disabled
./data/1714081875672491428,0.0,3.0,63.0,215.0,145.0,0.0,0.0,0.0,74088.0,74088.0,0.0,0.0,128.0,72.0,0.0,0.0,10.0,1.0,12.0,0.6065306597126334,VerletClusterLists,1.0,vcl_c06,none,SoA,enabled
./data/1714081875672491428,0.0,3.0,63.0,215.0,145.0,0.0,0.0,0.0,74088.0,74088.0,0.0,0.0,128.0,72.0,0.0,0.0,10.0,1.0,12.0,0.4723665527410147,VerletClusterLists,1.0,vcl_c01_balanced,none,AoS,disabled
./data/1714075063570194688,2.035416,3.0,51.0,51.0,51.0,63109.0,9.0,0.0,4913.0,669.0,0.0,10000.0,128.0,72.0,0.014333,0.010088,10.0,1.0,12.0,1.0,VerletListsCells,1.0,vlc_c18,none,AoS,enabled
./data/1714075063570194688,2.035416,3.0,51.0,51.0,51.0,63109.0,9.0,0.0,4913.0,669.0,0.0,10000.0,128.0,72.0,0.014333,0.010088,10.0,1.0,12.0,0.7788007830714049,VerletLists,1.0,vl_list_iteration,none,AoS,disabled
./data/1714075063570194688,2.035416,3.0,51.0,51.0,51.0,63109.0,9.0,0.0,4913.0,669.0,0.0,10000.0,128.0,72.0,0.014333,0.010088,10.0,1.0,12.0,0.6065306597126334,VerletListsCells,1.0,vlc_c01,none,AoS,disabled
./data/1714075063570194688,2.035416,3.0,51.0,51.0,51.0,63109.0,9.0,0.0,4913.0,669.0,0.0,10000.0,128.0,72.0,0.014333,0.010088,10.0,1.0,12.0,0.4723665527410147,VerletListsCells,1.0,vlc_c18,none,AoS,disabled
./data/1714078414935441027,2.586672,3.0,155.0,55.0,55.0,717343.0,23.0,0.0,18772.0,8383.0,0.0,48557.0,128.0,72.0,0.186435,0.009638,10.0,1.0,12.0,1.0,VerletListsCells,1.0,vlc_c18,none,AoS,enabled
./data/1714078414935441027,2.586672,3.0,155.0,55.0,55.0,717343.0,23.0,0.0,18772.0,8383.0,0.0,48557.0,128.0,72.0,0.186435,0.009638,10.0,1.0,12.0,0.7788007830714049,VerletListsCells,1.0,vlc_c01,none,AoS,disabled
./data/1714078414935441027,2.586672,3.0,155.0,55.0,55.0,717343.0,23.0,0.0,18772.0,8383.0,0.0,48557.0,128.0,72.0,0.186435,0.009638,10.0,1.0,12.0,0.6065306597126334,VerletListsCells,1.0,vlc_c18,none,AoS,disabled
