Date,Iteration,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,tuning[ns],optimumPerformance[ns]
2024-05-14 01:39:06,107100,VerletListsCells,1.000000,vlc_c01,none,AoS,disabled,23865440,10941784
2024-05-14 01:40:54,108250,VerletListsCells,1.000000,vlc_c18,none,AoS,enabled,22410917,11303175
2024-05-14 01:42:36,109400,VerletListsCells,1.000000,vlc_c01,none,AoS,disabled,22839285,11369155
2024-05-14 01:44:15,110550,VerletLists,1.000000,vl_list_iteration,none,AoS,disabled,66609217,11821970
2024-05-14 01:45:55,111700,VerletLists,1.000000,vl_list_iteration,none,AoS,disabled,71262776,11781081
2024-05-14 01:47:35,112850,VerletListsCells,1.000000,vlc_c18,none,AoS,enabled,23802482,11723503
2024-05-14 01:49:14,114000,VerletLists,1.000000,vl_list_iteration,none,AoS,disabled,64712270,12022497
2024-05-14 01:50:55,115150,VerletListsCells,1.000000,vlc_c01,none,AoS,disabled,25637115,12082704
2024-05-14 01:52:34,116300,VerletLists,1.000000,vl_list_iteration,none,AoS,disabled,69639218,12067538
2024-05-14 01:54:14,117450,VerletListsCells,1.000000,vlc_c18,none,AoS,enabled,21953372,11634984
2024-05-14 01:55:56,118600,VerletClusterLists,1.000000,vcl_c01_balanced,none,SoA,disabled,39078492,12613964
2024-05-14 01:57:15,119750,VerletLists,1.000000,vl_list_iteration,none,AoS,disabled,98123353,12597205
2024-05-14 01:59:02,120900,VerletListsCells,1.000000,vlc_c18,none,AoS,enabled,21503725,10672638
2024-05-14 02:00:55,122050,VerletListsCells,1.000000,vlc_c18,none,AoS,enabled,24023674,11950701
2024-05-14 02:02:40,123200,VerletListsCells,1.000000,vlc_c01,none,AoS,disabled,23870078,11383542
2024-05-14 02:04:24,124350,VerletListsCells,1.000000,vlc_c18,none,AoS,enabled,23109539,11740778
2024-05-14 02:06:06,125500,VerletListsCells,1.000000,vlc_c18,none,AoS,enabled,23480383,10859167
2024-05-14 02:07:45,126650,VerletListsCells,1.000000,vlc_c18,none,AoS,enabled,23134478,11518568
2024-05-14 02:09:31,127800,VerletListsCells,1.000000,vlc_c18,none,AoS,enabled,22698305,11533536
2024-05-14 02:11:16,128950,VerletLists,1.000000,vl_list_iteration,none,AoS,disabled,68376112,12977247
2024-05-14 02:12:57,130100,VerletListsCells,1.000000,vlc_c18,none,AoS,enabled,36734441,11465889
2024-05-14 02:14:45,131250,VerletListsCells,1.000000,vlc_c01,none,AoS,disabled,23815205,11193535
2024-05-14 02:16:22,132400,VerletLists,1.000000,vl_list_iteration,none,AoS,disabled,65602520,11343393
2024-05-14 02:18:00,133550,VerletLists,1.000000,vl_list_iteration,none,AoS,disabled,65162189,11394990
2024-05-14 02:19:38,134700,VerletClusterLists,1.000000,vcl_c06,none,SoA,enabled,38900699,11119157
2024-05-14 02:20:42,135850,VerletListsCells,1.000000,vlc_c01,none,AoS,disabled,22309237,11107561
2024-05-14 02:22:22,137000,VerletClusterLists,1.000000,vcl_c06,none,SoA,enabled,44443930,10512992
2024-05-14 02:23:29,138150,VerletClusterLists,1.000000,vcl_c06,none,SoA,enabled,35800429,10790141
2024-05-14 02:24:33,139300,VerletClusterLists,1.000000,vcl_c06,none,SoA,enabled,35769089,10929754
2024-05-14 02:25:41,140450,VerletClusterLists,1.000000,vcl_c06,none,SoA,enabled,37619170,11301540
2024-05-14 02:26:47,141600,VerletClusterLists,1.000000,vcl_c06,none,SoA,enabled,35969283,10460342
2024-05-14 02:27:51,142750,VerletClusterLists,1.000000,vcl_c06,none,SoA,enabled,35857355,10830814
2024-05-14 02:28:57,143900,VerletClusterLists,1.000000,vcl_c06,none,SoA,enabled,37667981,9768802
2024-05-14 02:30:17,145050,VerletListsCells,1.000000,vlc_c01,none,AoS,disabled,25089431,12469475
2024-05-14 02:32:15,146200,VerletLists,1.000000,vl_list_iteration,none,AoS,disabled,87887000,12599830
2024-05-14 02:34:01,147350,VerletClusterLists,1.000000,vcl_c06,none,SoA,enabled,36961905,10168498
